ticker,date,open,close,high,low,volume
WMT,2019-09-11,116.00,116.02,116.70,115.22,5284123
WMT,2019-09-10,115.99,116.05,116.96,115.48,4857420
WMT,2019-09-09,114.50,116.33,116.61,114.40,5974008
WMT,2019-09-06,115.44,114.73,115.75,114.62,4346396
WMT,2019-09-05,117.67,115.44,117.96,115.27,5827284
WMT,2019-09-04,115.69,115.91,115.96,114.82,5797254
WMT,2019-09-03,113.68,114.64,115.31,113.49,5942658
WMT,2019-08-30,115.00,114.26,115.38,113.90,5706122
WMT,2019-08-29,114.20,114.08,114.59,113.31,5270499
WMT,2019-08-28,112.28,112.72,113.08,111.68,5377063
WMT,2019-08-27,112.42,112.42,112.81,111.51,5733829
WMT,2019-08-26,111.56,111.99,112.27,111.22,5936746
WMT,2019-08-23,111.62,110.83,111.91,110.13,6237251
WMT,2019-08-22,112.20,111.91,112.79,111.35,5995487
WMT,2019-08-21,113.98,112.02,114.07,111.88,8157465
WMT,2019-08-20,113.86,112.05,114.04,112.01,6114121
WMT,2019-08-19,114.35,113.81,114.78,113.60,7178463
WMT,2019-08-16,114.08,112.99,114.93,112.06,10965214
WMT,2019-08-15,112.53,112.69,113.64,110.16,19812894
WMT,2019-08-14,105.48,106.20,108.06,105.14,9312818
WMT,2019-08-13,105.25,107.41,108.11,104.85,6722818
WMT,2019-08-12,106.72,105.12,106.84,104.84,5757029
WMT,2019-08-09,108.06,107.28,108.46,106.71,4193498
WMT,2019-08-08,108.01,108.52,108.84,107.77,4374774
WMT,2019-08-07,107.02,108.20,108.64,105.92,7278480
WMT,2019-08-06,106.19,107.27,107.84,105.59,7016428
WMT,2019-08-05,108.00,105.82,108.00,105.59,7569972
WMT,2019-08-02,109.74,109.40,110.14,108.15,5656709
WMT,2019-08-01,110.32,109.38,112.17,109.32,7454967
WMT,2019-07-31,111.91,110.38,112.34,109.63,6211277
WMT,2019-07-30,112.06,112.06,112.40,111.67,3035196
WMT,2019-07-29,112.84,112.27,112.98,111.76,3746595
WMT,2019-07-26,112.12,113.02,113.34,111.82,4729045
WMT,2019-07-25,112.18,112.22,112.39,111.66,3851542
WMT,2019-07-24,112.03,112.00,112.79,111.57,4177442
WMT,2019-07-23,113.12,112.09,113.20,111.57,5754296
WMT,2019-07-22,114.10,112.82,114.34,112.32,4520824
WMT,2019-07-19,115.00,113.90,115.31,113.86,3796494
WMT,2019-07-18,114.35,114.72,114.78,113.74,3224798
WMT,2019-07-17,114.81,114.60,115.17,114.20,2688694
WMT,2019-07-16,115.33,114.76,115.49,114.04,3488164
WMT,2019-07-15,114.67,114.98,115.08,114.45,3346076
WMT,2019-07-12,114.09,114.60,114.77,113.62,3743332
WMT,2019-07-11,113.34,113.92,113.94,113.02,3896569
WMT,2019-07-10,113.12,112.98,113.61,112.39,4579025
WMT,2019-07-09,112.89,112.88,113.38,112.60,5423699
WMT,2019-07-08,111.92,112.72,112.93,111.70,4715658
WMT,2019-07-05,112.00,111.98,112.24,111.21,3579417
WMT,2019-07-03,111.18,112.32,112.40,111.00,3207310
WMT,2019-07-02,110.83,111.60,111.61,110.34,4063209
WMT,2019-07-01,111.30,110.62,111.97,110.02,5516083
WMT,2019-06-28,110.55,110.49,111.51,110.24,6507024
WMT,2019-06-27,110.06,110.10,110.51,108.86,5481310
WMT,2019-06-26,110.85,110.16,111.08,110.10,4161701
WMT,2019-06-25,110.88,110.72,111.43,110.40,6105388
WMT,2019-06-24,111.49,111.24,112.22,111.03,6032837
WMT,2019-06-21,110.34,111.13,112.19,110.26,13178575
WMT,2019-06-20,109.82,110.32,110.49,109.28,5001543
WMT,2019-06-19,109.80,109.62,109.84,108.87,3924806
WMT,2019-06-18,109.80,109.65,109.96,108.91,4911166
WMT,2019-06-17,109.12,109.16,109.55,108.26,4146996
WMT,2019-06-14,108.78,109.07,109.59,108.46,4525883
WMT,2019-06-13,109.00,108.65,109.58,108.17,5484968
WMT,2019-06-12,107.92,108.82,108.91,107.92,4635075
WMT,2019-06-11,108.00,107.94,108.97,107.75,6747261
WMT,2019-06-10,106.48,107.52,107.78,106.37,6325652
WMT,2019-06-07,105.23,106.06,106.36,105.05,6809377
WMT,2019-06-06,104.49,105.11,105.66,104.20,8063725
WMT,2019-06-05,102.75,104.42,104.78,102.60,6902878
WMT,2019-06-04,102.61,102.56,102.65,101.44,5965007
WMT,2019-06-03,101.63,101.96,102.68,101.40,6614830
WMT,2019-05-31,101.35,101.44,102.02,100.60,5927484
WMT,2019-05-30,102.49,102.19,103.49,101.91,5019643
WMT,2019-05-29,102.11,102.12,102.88,101.47,6520229
WMT,2019-05-28,102.56,102.42,103.57,102.40,10271863
WMT,2019-05-24,102.18,102.67,102.89,102.08,4483167
WMT,2019-05-23,101.82,101.86,101.93,100.93,6454609
WMT,2019-05-22,101.60,102.23,102.43,101.06,7340875
WMT,2019-05-21,101.51,101.12,101.65,100.40,6889096
WMT,2019-05-20,100.39,101.52,101.98,100.25,7194445
WMT,2019-05-17,100.24,100.86,101.95,99.91,12371286
WMT,2019-05-16,102.83,101.31,103.96,100.84,17121981
WMT,2019-05-15,100.20,99.88,100.36,99.13,6740332
WMT,2019-05-14,100.14,100.29,100.87,99.89,6353696
WMT,2019-05-13,100.45,99.89,101.15,99.01,7361545
WMT,2019-05-10,99.76,101.91,102.11,99.70,8742694
WMT,2019-05-09,99.27,99.54,99.94,98.85,6240201
WMT,2019-05-08,100.25,100.30,101.04,99.86,5882016
WMT,2019-05-07,101.80,101.30,102.17,100.76,4575570
WMT,2019-05-06,100.75,102.46,102.55,100.54,4613670
WMT,2019-05-03,102.32,102.08,102.75,101.80,5317261
WMT,2019-05-02,101.43,101.15,102.06,100.24,5006973
WMT,2019-05-01,102.77,101.36,102.81,101.28,5337207
WMT,2019-04-30,101.77,102.84,102.92,101.45,6133736
WMT,2019-04-29,101.88,101.56,102.00,100.78,6380005
WMT,2019-04-26,100.45,101.53,102.34,99.66,8107960
WMT,2019-04-25,103.24,103.52,104.15,102.83,3961058
WMT,2019-04-24,103.14,103.53,103.85,103.09,4697809
WMT,2019-04-23,102.53,103.07,103.29,101.94,5050840
WMT,2019-04-22,102.78,102.37,103.54,102.17,5079446
WMT,2019-04-18,103.11,103.18,103.80,102.89,3727937
WMT,2019-04-17,103.00,103.16,103.40,102.41,3729215
WMT,2019-04-16,102.89,102.93,103.39,102.54,4828391
WMT,2019-04-15,101.30,102.43,102.91,101.26,5112159
WMT,2019-04-12,101.00,101.56,102.02,101.00,5162002
WMT,2019-04-11,99.70,100.80,100.83,99.47,5606861
WMT,2019-04-10,98.51,99.60,99.72,98.50,4091128
WMT,2019-04-09,98.80,98.69,99.23,98.15,4367535
WMT,2019-04-08,98.45,99.23,99.25,98.26,5422422
WMT,2019-04-05,98.25,98.83,99.20,98.16,4656424
WMT,2019-04-04,97.25,98.11,98.28,97.24,4026268
WMT,2019-04-03,97.12,97.19,97.40,96.79,5687476
WMT,2019-04-02,97.76,96.94,98.31,96.90,6274042
WMT,2019-04-01,97.97,97.82,98.36,97.56,8505756
WMT,2019-03-29,97.59,97.53,97.67,97.04,7439899
WMT,2019-03-28,97.59,97.13,97.87,96.53,8054324
WMT,2019-03-27,98.14,97.21,98.86,96.96,8471172
WMT,2019-03-26,98.36,98.32,98.85,98.03,4946289
WMT,2019-03-25,97.80,98.17,98.62,97.63,5407425
WMT,2019-03-22,98.58,98.28,99.53,97.94,6708131
WMT,2019-03-21,98.25,99.06,99.13,98.10,6550976
WMT,2019-03-20,99.20,98.64,99.55,98.54,6323122
WMT,2019-03-19,99.99,99.85,100.49,99.57,5414427
WMT,2019-03-18,98.30,99.66,99.77,98.26,5770121
WMT,2019-03-15,98.28,98.42,98.51,97.60,14600045
WMT,2019-03-14,98.41,98.22,98.43,97.59,4926120
WMT,2019-03-13,98.70,99.03,99.35,98.39,5482267
WMT,2019-03-12,98.53,98.37,98.74,98.05,5070769
WMT,2019-03-11,98.04,98.48,98.58,97.82,5345255
WMT,2019-03-08,97.55,97.59,98.42,97.00,5659344
WMT,2019-03-07,97.71,97.45,98.20,97.24,6126558
WMT,2019-03-06,98.27,98.26,99.00,97.86,4696686
WMT,2019-03-05,98.13,98.34,99.19,98.09,6119520
WMT,2019-03-04,98.12,97.85,98.59,97.37,7683837
WMT,2019-03-01,99.47,97.93,99.56,97.12,10352471
WMT,2019-02-28,98.11,98.99,99.47,97.77,11375927
WMT,2019-02-27,98.12,98.11,98.39,97.59,7902307
WMT,2019-02-26,99.02,98.69,99.06,97.87,8488088
WMT,2019-02-25,100.12,99.12,100.13,99.05,9234970
WMT,2019-02-22,99.82,99.55,100.16,99.14,8086946
